Time,Location,LMP
2022-01-01 04:00:00-08:00,VACA-DIX_1_B1,61.14108
2022-01-01 04:00:00-08:00,WISE1_7_B1,61.00499
2022-01-01 05:00:00-08:00,ALTA1G_7_B1,77.42565
2022-01-01 05:00:00-08:00,BIGCRK3_2_B1,73.08166
2022-01-01 05:00:00-08:00,C493GEN_7_N003,74.16957
2022-01-01 05:00:00-08:00,CUYAMAGN_7_N001,73.85546
2022-01-01 05:00:00-08:00,IBM-CTLE_1_N002,77.06557
2022-01-01 05:00:00-08:00,JESSUP_1_GN001,75.34942
2022-01-01 05:00:00-08:00,KANAKAJT_1_B1,75.42604
2022-01-01 05:00:00-08:00,KEARNY_7_GNU1N,76.33774
2022-01-01 05:00:00-08:00,LBEACH1G_7_N001,76.42967
2022-01-01 05:00:00-08:00,MECCTG2_7_B2,76.80508
2022-01-01 05:00:00-08:00,MILPITAS_1_N001,78.18412
2022-01-01 05:00:00-08:00,REDMGEN_7_N003,76.99661
2022-01-01 05:00:00-08:00,RENFRO_1_N001,75.0966
2022-01-01 05:00:00-08:00,SHELL3_7_B2,79.83898
2022-01-01 05:00:00-08:00,SPIJCT_6_B1,76.06193
2022-01-01 05:00:00-08:00,TOT210S1_7_N002,72.90545
2022-01-01 05:00:00-08:00,TULLOCH_7_B2,73.44174
2022-01-01 05:00:00-08:00,VACA-DIX_1_B1,75.93169
2022-01-01 05:00:00-08:00,WISE1_7_B1,75.89338
2022-01-01 06:00:00-08:00,ALTA1G_7_B1,85.60109
2022-01-01 06:00:00-08:00,BIGCRK3_2_B1,80.38089
2022-01-01 06:00:00-08:00,C493GEN_7_N003,81.27626
2022-01-01 06:00:00-08:00,CUYAMAGN_7_N001,81.38607
2022-01-01 06:00:00-08:00,IBM-CTLE_1_N002,85.30544
2022-01-01 06:00:00-08:00,JESSUP_1_GN001,83.47246
2022-01-01 06:00:00-08:00,KANAKAJT_1_B1,83.56538
2022-01-01 06:00:00-08:00,KEARNY_7_GNU1N,83.62451
2022-01-01 06:00:00-08:00,LBEACH1G_7_N001,83.94549
2022-01-01 06:00:00-08:00,MECCTG2_7_B2,85.04359
2022-01-01 06:00:00-08:00,MILPITAS_1_N001,86.74987
2022-01-01 06:00:00-08:00,REDMGEN_7_N003,84.68037
2022-01-01 06:00:00-08:00,RENFRO_1_N001,82.66156
2022-01-01 06:00:00-08:00,SHELL3_7_B2,88.53217
2022-01-01 06:00:00-08:00,SPIJCT_6_B1,84.37628
2022-01-01 06:00:00-08:00,TOT210S1_7_N002,79.91631
2022-01-01 06:00:00-08:00,TULLOCH_7_B2,80.42312
2022-01-01 06:00:00-08:00,VACA-DIX_1_B1,84.13132
2022-01-01 06:00:00-08:00,WISE1_7_B1,84.28337
2022-01-01 07:00:00-08:00,ALTA1G_7_B1,78.18041
2022-01-01 07:00:00-08:00,BIGCRK3_2_B1,73.26267
2022-01-01 07:00:00-08:00,C493GEN_7_N003,73.98291
2022-01-01 07:00:00-08:00,CUYAMAGN_7_N001,74.59472
2022-01-01 07:00:00-08:00,IBM-CTLE_1_N002,78.4747
2022-01-01 07:00:00-08:00,JESSUP_1_GN001,76.5076
2022-01-01 07:00:00-08:00,KANAKAJT_1_B1,76.61602
2022-01-01 07:00:00-08:00,KEARNY_7_GNU1N,76.33722
2022-01-01 07:00:00-08:00,LBEACH1G_7_N001,76.80964
2022-01-01 07:00:00-08:00,MECCTG2_7_B2,78.1959
2022-01-01 07:00:00-08:00,MILPITAS_1_N001,79.96163
2022-01-01 07:00:00-08:00,REDMGEN_7_N003,76.30625
2022-01-01 07:00:00-08:00,RENFRO_1_N001,75.50082
2022-01-01 07:00:00-08:00,SHELL3_7_B2,81.88226
2022-01-01 07:00:00-08:00,SPIJCT_6_B1,77.51438
2022-01-01 07:00:00-08:00,TOT210S1_7_N002,72.53469
2022-01-01 07:00:00-08:00,TULLOCH_7_B2,74.37013
2022-01-01 07:00:00-08:00,VACA-DIX_1_B1,77.28205
2022-01-01 07:00:00-08:00,WISE1_7_B1,77.75446
2022-01-01 08:00:00-08:00,ALTA1G_7_B1,53.36629
2022-01-01 08:00:00-08:00,BIGCRK3_2_B1,52.32683
2022-01-01 08:00:00-08:00,C493GEN_7_N003,51.75181
2022-01-01 08:00:00-08:00,CUYAMAGN_7_N001,51.9785
2022-01-01 08:00:00-08:00,IBM-CTLE_1_N002,56.99887
2022-01-01 08:00:00-08:00,JESSUP_1_GN001,55.68849
2022-01-01 08:00:00-08:00,KANAKAJT_1_B1,55.87648
2022-01-01 08:00:00-08:00,KEARNY_7_GNU1N,53.73121
2022-01-01 08:00:00-08:00,LBEACH1G_7_N001,53.90814
2022-01-01 08:00:00-08:00,MECCTG2_7_B2,56.77771
2022-01-01 08:00:00-08:00,MILPITAS_1_N001,58.41431
2022-01-01 08:00:00-08:00,REDMGEN_7_N003,52.61434
2022-01-01 08:00:00-08:00,RENFRO_1_N001,53.01796
2022-01-01 08:00:00-08:00,SHELL3_7_B2,60.46558
2022-01-01 08:00:00-08:00,SPIJCT_6_B1,56.43491
2022-01-01 08:00:00-08:00,TOT210S1_7_N002,50.18157
2022-01-01 08:00:00-08:00,TULLOCH_7_B2,54.99183
2022-01-01 08:00:00-08:00,VACA-DIX_1_B1,56.44044
2022-01-01 08:00:00-08:00,WISE1_7_B1,56.57867
2022-01-01 09:00:00-08:00,ALTA1G_7_B1,39.16399
2022-01-01 09:00:00-08:00,BIGCRK3_2_B1,37.7824
2022-01-01 09:00:00-08:00,C493GEN_7_N003,37.97099
2022-01-01 09:00:00-08:00,CUYAMAGN_7_N001,37.96689
2022-01-01 09:00:00-08:00,IBM-CTLE_1_N002,42.74298
2022-01-01 09:00:00-08:00,JESSUP_1_GN001,41.97635
2022-01-01 09:00:00-08:00,KANAKAJT_1_B1,42.16903
2022-01-01 09:00:00-08:00,KEARNY_7_GNU1N,39.40997
2022-01-01 09:00:00-08:00,LBEACH1G_7_N001,39.56165
2022-01-01 09:00:00-08:00,MECCTG2_7_B2,42.5749
2022-01-01 09:00:00-08:00,MILPITAS_1_N001,43.85399
2022-01-01 09:00:00-08:00,REDMGEN_7_N003,38.15137
2022-01-01 09:00:00-08:00,RENFRO_1_N001,38.70482
2022-01-01 09:00:00-08:00,SHELL3_7_B2,45.45285
2022-01-01 09:00:00-08:00,SPIJCT_6_B1,42.37401
2022-01-01 09:00:00-08:00,TOT210S1_7_N002,36.29833
2022-01-01 09:00:00-08:00,TULLOCH_7_B2,41.3491
2022-01-01 09:00:00-08:00,VACA-DIX_1_B1,42.36582
