,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
558,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456,63.58456
559,61.47,61.47,61.47,61.47,61.47,61.47,62.67653,61.47,61.47,61.47,61.47,61.47,61.47,61.47,63.3712,61.47,61.47,61.47,58.54507
560,44.39509,46.3411,42.11567,42.52037,48.4292,46.04562,49.28083,43.90027,44.82472,48.12538,49.78276,43.21449,43.48226,49.77905,52.92576,41.09366,46.55943,47.36409,47.05863
561,39.34882,41.09897,37.93189,37.60569,44.3371,42.61792,43.05205,39.57208,39.83535,44.13,45.63372,38.22717,38.57685,45.8466,43.66366,36.52747,43.50307,43.54678,43.40162
562,32.19089,32.86787,31.21002,30.62947,43.68356,35.79609,36.13121,32.68536,32.5708,43.99,42.4972,31.18429,31.34243,39.87073,36.81366,29.78444,36.75891,36.96715,36.48922
563,23.8028,24.71638,23.09343,22.56802,40.17982,26.77793,27.10922,24.11454,24.09797,40.9483,36.61388,23.04587,23.11806,31.40272,27.78954,21.97018,27.6472,28.32806,27.35811
564,20.66398,21.25921,19.88461,19.44967,31.46233,22.88381,23.14403,20.71226,20.78232,31.92,29.40639,19.8775,19.90487,26.13493,23.65133,18.93178,23.7507,23.96562,23.30082
565,20.09189,20.24328,19.06305,18.48419,33.27246,21.94502,22.23334,19.93959,20.30091,33.91868,30.22275,18.92419,18.99257,25.6867,22.78935,18.11289,22.93168,23.22298,22.51134
566,22.96482,22.47486,22.28998,20.99699,32.08856,24.46042,24.76958,23.62818,26.08882,32.45,30.45205,21.24192,21.44854,27.70963,25.22774,20.89992,25.40314,25.43341,25.07154
567,36.74229,36.92028,35.98089,35.00464,38.94948,37.55602,37.98018,37.72616,38.47535,38.73549,39.95065,35.81469,35.64279,39.98378,38.49222,34.59224,37.8668,38.23747,37.89866
568,55.18172,56.48255,53.75249,52.54658,55.78468,53.30586,52.20602,55.87401,55.75677,55.50554,57.24183,54.7965,53.59059,57.45398,54.81325,52.49633,54.00373,54.89141,54.28846
