,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
383,107.47372,116.59257,103.69595,102.64132,103.18022,99.47863,137.88766,108.24396,106.64219,102.70807,105.34101,105.8734,104.405,105.05217,122.3611,100.39813,109.80198,101.13678,108.75501
384,93.60433,94.58433,92.2619,94.70166,93.86193,90.45099,115.44043,95.74041,93.35689,93.59191,94.89736,92.32281,96.694,94.29365,110.38906,88.5996,104.16809,91.38051,98.81106
385,90.86077,95.11692,88.66293,92.73174,92.56167,88.97814,100.58748,91.70221,89.73094,92.30851,93.52194,88.5256,94.95617,93.20406,98.34664,85.39854,96.11627,89.90373,93.34901
386,89.9506,93.90239,88.58975,93.14636,92.24267,88.61939,95.24413,92.44442,89.66477,91.9933,93.19606,88.17406,95.02655,92.58895,93.37068,85.3917,92.30875,89.52538,90.41465
387,88.98359,90.84293,88.07978,88.63575,89.45226,86.5717,89.92063,91.61216,89.38544,89.19602,90.93987,88.13246,90.47403,90.38475,89.38371,85.37411,89.92063,87.43623,87.48174
388,89.37196,94.01523,88.60005,89.35292,89.69648,86.78075,90.45076,92.12519,89.84028,89.46455,91.32937,88.86413,91.00031,90.81685,89.84672,85.86199,90.21281,87.79664,88.40068
389,94.29839,93.36354,93.09135,92.16198,92.69762,89.94014,93.01233,96.49553,94.36315,92.4141,94.61025,93.30647,94.1698,93.45937,92.02314,89.92586,93.52595,90.70105,90.13988
390,121.65494,120.11408,121.18176,116.12241,117.7482,115.11539,112.57965,125.36755,123.0866,117.27502,120.87844,120.84204,117.90592,119.20412,116.55919,117.93019,118.52469,115.54004,115.74629
391,92.17535,91.54018,93.29625,87.71977,91.3627,89.21431,99.09709,97.47161,94.2677,90.93302,93.8567,90.67148,89.69069,92.62371,96.45894,88.93408,93.81934,89.42915,92.04926
392,84.08081,85.3481,85.44293,78.83923,85.03774,82.72731,88.13121,89.5724,86.85678,84.64118,87.33955,81.71003,81.39967,86.27055,87.39824,80.50309,98.48199,83.1325,85.38187
393,80.95049,81.87981,82.14533,75.44095,81.68897,79.36567,82.44404,86.37706,84.14503,81.30728,83.98738,78.17912,77.71446,83.10784,82.2366,76.89301,87.75445,79.78054,81.12474
394,82.54211,85.32837,84.48821,77.42395,84.03383,81.5219,83.69948,88.80049,87.23161,83.56231,86.64006,80.58743,79.5758,85.79132,84.05955,79.0357,89.71782,82.05344,82.73929
395,87.57,87.57,87.57,87.57,87.57,87.57,87.57,89.29895,87.57,87.57,87.57,87.57,87.57,87.57,91.34954,87.57,87.57,87.57,61.11321
396,91.98832,93.34622,94.03488,88.49657,95.33458,92.53148,92.69637,108.14244,98.59356,94.79142,98.99123,90.71771,89.00093,98.54506,97.74119,88.88454,102.192,93.12314,63.49322
397,108.66007,106.32191,108.30146,102.75591,73.04191,107.96202,106.79,122.93379,115.50459,94.33,119.17782,105.82711,103.29071,117.23551,110.36911,103.11824,153.36784,109.37299,107.64578
398,109.94333,108.9058,110.31995,75.88662,121.63724,129.26878,130.94928,119.40986,109.42896,116.46146,135.51144,108.69477,105.0,131.4499,135.91884,110.96749,190.8754,130.47191,136.479
399,132.72014,132.23486,132.92812,95.26342,137.01459,143.11894,179.17976,141.89488,132.44284,137.9454,144.02017,132.16554,131.47227,155.21358,138.89339,133.27473,227.42908,142.42664,144.97359
400,140.17705,139.69052,140.5014,126.11345,157.97015,152.42133,206.43224,150.17828,139.8527,152.25916,153.47546,139.52835,138.71747,159.24883,152.73784,140.90685,223.65964,152.42654,155.31319
401,159.71252,159.71252,159.71252,159.71252,167.093,159.71252,299.5682,165.43327,159.71252,159.71252,159.71252,159.71252,159.71252,244.01701,259.28745,159.71252,260.8339,149.61153,187.82516
402,201.83,201.83,201.83,201.83,207.60777,201.83,410.0,201.83,201.83,201.83,201.83,201.83,201.83,247.355,342.40982,201.83,300.22223,196.60924,257.4885
403,250.0,250.0,250.0,250.0,250.0,250.0,540.5434,250.0,250.0,250.0,250.0,250.0,250.0,250.0,435.01138,250.0,282.11932,250.0,316.057
404,181.56929,181.56929,181.56929,181.56929,181.56929,181.56929,344.24948,181.56929,181.56929,181.56929,181.56929,181.56929,181.56929,181.56929,287.35025,181.56929,212.47586,181.56929,220.98611
405,153.79465,148.85516,150.69984,133.63007,146.6446,143.03146,177.03548,157.28583,154.25201,145.94331,150.5779,152.59027,145.37924,150.0748,171.34633,147.01048,158.73413,144.19011,155.14066
406,112.81971,108.27978,109.99338,104.00689,107.30057,103.4394,156.55637,114.8115,112.90873,106.71083,109.79309,110.99484,105.92079,109.03643,142.91685,105.99868,116.1134,105.29766,118.65681
407,106.04358,106.97221,103.26823,100.76725,103.07828,99.5537,132.79597,106.84558,105.88529,102.57176,105.62147,105.05163,102.29739,104.77726,125.26906,100.22907,106.93,101.00996,109.81563
408,89.45398,97.27322,88.70794,87.82135,87.97422,85.30453,107.4562,92.09479,89.24906,87.67284,89.12508,88.36162,89.88854,87.95441,101.90975,85.13768,96.02204,85.967,92.333
409,86.87689,93.62379,86.44765,85.92954,86.62434,83.60715,93.65798,89.42038,86.36171,86.34576,87.79017,85.32364,88.06151,86.60262,92.59782,82.58485,94.35715,84.36931,87.29792
410,83.3271,89.89057,83.56288,84.93592,84.44363,81.56497,83.55204,87.25067,83.54183,84.26472,85.30585,82.21749,86.64653,84.07041,84.94299,79.83316,88.07047,82.15245,83.05095
411,82.10659,90.29909,82.66455,84.29516,84.18568,81.36509,87.91673,86.01902,82.67219,84.0233,85.05414,81.64237,86.10537,83.81016,84.43644,79.19919,88.30565,81.99995,82.65197
412,82.84467,89.28684,83.13722,85.40103,83.60437,81.59552,87.78596,86.45715,83.16486,84.23853,85.4063,82.3464,86.59885,84.21651,84.94935,79.71323,90.52757,82.37147,83.51815
413,86.67305,94.42681,86.86795,86.4682,85.53686,83.53195,84.7207,90.02182,86.99698,85.91111,87.4087,86.26524,88.29112,85.98042,85.96268,83.19498,87.72806,84.16181,84.907
