Time,Location,LMP
2022-10-01 01:00:00-07:00,VACA-DIX_1_B1,61.89278
2022-10-01 01:00:00-07:00,WISE1_7_B1,64.04924
2022-10-01 01:15:00-07:00,ALTA1G_7_B1,61.8408
2022-10-01 01:15:00-07:00,BIGCRK3_2_B1,62.89346
2022-10-01 01:15:00-07:00,C493GEN_7_N003,58.04503
2022-10-01 01:15:00-07:00,CUYAMAGN_7_N001,59.96459
2022-10-01 01:15:00-07:00,IBM-CTLE_1_N002,63.1783
2022-10-01 01:15:00-07:00,JESSUP_1_GN001,61.43212
2022-10-01 01:15:00-07:00,KANAKAJT_1_B1,62.38571
2022-10-01 01:15:00-07:00,KEARNY_7_GNU1N,59.89647
2022-10-01 01:15:00-07:00,LBEACH1G_7_N001,60.86864
2022-10-01 01:15:00-07:00,MECCTG2_7_B2,62.91204
2022-10-01 01:15:00-07:00,MILPITAS_1_N001,64.54057
2022-10-01 01:15:00-07:00,REDMGEN_7_N003,61.51262
2022-10-01 01:15:00-07:00,RENFRO_1_N001,60.89341
2022-10-01 01:15:00-07:00,SHELL3_7_B2,63.28976
2022-10-01 01:15:00-07:00,SPIJCT_6_B1,63.77275
2022-10-01 01:15:00-07:00,TOT210S1_7_N002,57.24005
2022-10-01 01:15:00-07:00,TULLOCH_7_B2,62.98015
2022-10-01 01:15:00-07:00,VACA-DIX_1_B1,61.83461
2022-10-01 01:15:00-07:00,WISE1_7_B1,63.94613
2022-10-01 01:30:00-07:00,ALTA1G_7_B1,59.91364
2022-10-01 01:30:00-07:00,BIGCRK3_2_B1,60.87399
2022-10-01 01:30:00-07:00,C493GEN_7_N003,56.24632
2022-10-01 01:30:00-07:00,CUYAMAGN_7_N001,58.149
2022-10-01 01:30:00-07:00,IBM-CTLE_1_N002,61.27613
2022-10-01 01:30:00-07:00,JESSUP_1_GN001,59.64354
2022-10-01 01:30:00-07:00,KANAKAJT_1_B1,60.53787
2022-10-01 01:30:00-07:00,KEARNY_7_GNU1N,58.02296
2022-10-01 01:30:00-07:00,LBEACH1G_7_N001,58.9713
2022-10-01 01:30:00-07:00,MECCTG2_7_B2,61.02404
2022-10-01 01:30:00-07:00,MILPITAS_1_N001,62.5726
2022-10-01 01:30:00-07:00,REDMGEN_7_N003,59.62554
2022-10-01 01:30:00-07:00,RENFRO_1_N001,59.04933
2022-10-01 01:30:00-07:00,SHELL3_7_B2,61.34816
2022-10-01 01:30:00-07:00,SPIJCT_6_B1,61.87035
2022-10-01 01:30:00-07:00,TOT210S1_7_N002,55.46003
2022-10-01 01:30:00-07:00,TULLOCH_7_B2,61.09607
2022-10-01 01:30:00-07:00,VACA-DIX_1_B1,59.99767
2022-10-01 01:30:00-07:00,WISE1_7_B1,62.0204
2022-10-01 01:45:00-07:00,ALTA1G_7_B1,58.0811
2022-10-01 01:45:00-07:00,BIGCRK3_2_B1,60.54433
2022-10-01 01:45:00-07:00,C493GEN_7_N003,54.53474
2022-10-01 01:45:00-07:00,CUYAMAGN_7_N001,56.40983
2022-10-01 01:45:00-07:00,IBM-CTLE_1_N002,59.45539
2022-10-01 01:45:00-07:00,JESSUP_1_GN001,57.94716
2022-10-01 01:45:00-07:00,KANAKAJT_1_B1,58.78571
2022-10-01 01:45:00-07:00,KEARNY_7_GNU1N,56.2526
2022-10-01 01:45:00-07:00,LBEACH1G_7_N001,57.16102
2022-10-01 01:45:00-07:00,MECCTG2_7_B2,59.21081
2022-10-01 01:45:00-07:00,MILPITAS_1_N001,60.69574
2022-10-01 01:45:00-07:00,REDMGEN_7_N003,57.81905
2022-10-01 01:45:00-07:00,RENFRO_1_N001,57.28331
2022-10-01 01:45:00-07:00,SHELL3_7_B2,59.50197
2022-10-01 01:45:00-07:00,SPIJCT_6_B1,60.04353
2022-10-01 01:45:00-07:00,TOT210S1_7_N002,53.76025
2022-10-01 01:45:00-07:00,TULLOCH_7_B2,59.26322
2022-10-01 01:45:00-07:00,VACA-DIX_1_B1,58.24415
2022-10-01 01:45:00-07:00,WISE1_7_B1,60.17747
2022-10-01 02:00:00-07:00,ALTA1G_7_B1,57.1088
2022-10-01 02:00:00-07:00,BIGCRK3_2_B1,57.39853
2022-10-01 02:00:00-07:00,C493GEN_7_N003,67.15275
2022-10-01 02:00:00-07:00,CUYAMAGN_7_N001,57.1088
2022-10-01 02:00:00-07:00,IBM-CTLE_1_N002,57.1088
2022-10-01 02:00:00-07:00,JESSUP_1_GN001,57.1088
2022-10-01 02:00:00-07:00,KANAKAJT_1_B1,57.1088
2022-10-01 02:00:00-07:00,KEARNY_7_GNU1N,64.49
2022-10-01 02:00:00-07:00,LBEACH1G_7_N001,57.75724
2022-10-01 02:00:00-07:00,MECCTG2_7_B2,57.1088
2022-10-01 02:00:00-07:00,MILPITAS_1_N001,57.1088
2022-10-01 02:00:00-07:00,REDMGEN_7_N003,57.41233
2022-10-01 02:00:00-07:00,RENFRO_1_N001,57.1088
2022-10-01 02:00:00-07:00,SHELL3_7_B2,57.1088
2022-10-01 02:00:00-07:00,SPIJCT_6_B1,57.1088
2022-10-01 02:00:00-07:00,TOT210S1_7_N002,56.51554
2022-10-01 02:00:00-07:00,TULLOCH_7_B2,57.1088
2022-10-01 02:00:00-07:00,VACA-DIX_1_B1,57.1088
2022-10-01 02:00:00-07:00,WISE1_7_B1,57.1088
2022-10-01 02:15:00-07:00,ALTA1G_7_B1,57.82
2022-10-01 02:15:00-07:00,BIGCRK3_2_B1,58.08181
2022-10-01 02:15:00-07:00,C493GEN_7_N003,66.89619
2022-10-01 02:15:00-07:00,CUYAMAGN_7_N001,57.82
2022-10-01 02:15:00-07:00,IBM-CTLE_1_N002,57.82
2022-10-01 02:15:00-07:00,JESSUP_1_GN001,57.82
2022-10-01 02:15:00-07:00,KANAKAJT_1_B1,57.82
2022-10-01 02:15:00-07:00,KEARNY_7_GNU1N,64.49
2022-10-01 02:15:00-07:00,LBEACH1G_7_N001,58.40596
2022-10-01 02:15:00-07:00,MECCTG2_7_B2,57.82
2022-10-01 02:15:00-07:00,MILPITAS_1_N001,57.82
2022-10-01 02:15:00-07:00,REDMGEN_7_N003,58.09428
2022-10-01 02:15:00-07:00,RENFRO_1_N001,57.82
