,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
537,30.49806,28.91962,17.99393,14.12642,52.34915,61.82769,62.82395,7.73301,29.70494,57.09,62.68834,28.66564,14.12642,62.62585,63.51332,30.49416,65.32444,62.3485,61.89482
538,26.58409,25.51905,15.55277,10.75219,59.54026,55.91923,58.29284,9.49516,25.07694,57.24752,60.24362,22.82941,11.21756,58.98326,58.65071,23.01444,61.72679,56.70886,57.29994
539,25.77495,24.54981,15.39252,12.61599,55.32811,51.82436,53.84348,6.16752,24.48055,55.32137,56.91539,22.32684,13.25361,55.27456,53.14994,22.79972,55.59854,52.94549,52.02291
540,26.55668,25.13497,13.11247,14.79273,55.62151,50.07363,51.90471,3.70502,24.91338,54.45736,55.56635,22.75474,15.21924,53.77557,51.05807,22.85261,53.33092,51.33132,49.94668
541,28.73831,24.80823,17.11033,12.82899,55.82698,50.72155,52.66592,11.06209,24.54492,55.93316,56.6129,22.53709,13.53707,53.78898,51.45821,23.38814,53.8193,51.92201,50.29686
542,28.98795,26.09402,20.82479,15.75245,53.79925,48.76884,50.80347,17.2436,25.82708,52.12781,53.52579,23.74735,16.25737,51.72778,52.08264,24.29517,52.63303,49.91819,49.0649
543,38.03847,35.81929,35.26193,27.40989,52.85056,51.53313,53.85031,37.39358,35.5015,52.76037,55.38024,33.41754,27.86406,54.32585,55.36906,32.8936,57.10916,52.3689,53.13133
544,48.62928,47.9542,44.92517,40.34823,55.1254,57.3416,59.91683,49.03059,47.1154,54.94949,59.5932,46.07448,40.31807,59.46986,62.75636,42.97247,66.41164,57.64357,61.60877
545,73.70117,71.84174,68.811,69.37748,76.38852,74.83453,74.1789,70.58136,71.18605,73.88167,78.7182,72.41001,68.5178,78.16676,80.05719,66.38086,83.43154,75.63143,79.7069
546,87.91608,80.82047,81.46399,82.26838,84.36827,80.88821,78.38189,83.19979,83.8687,84.10579,86.31576,85.93473,83.61468,85.42669,84.08885,78.28337,85.91779,82.5478,85.71458
547,82.89364,76.85503,77.18603,79.62407,81.10951,78.07406,75.2808,78.85714,79.55949,80.79466,82.94208,81.32748,79.55949,81.93295,80.88346,74.42355,82.32853,79.23657,81.94103
548,76.20664,70.46392,71.34397,73.8126,75.24455,72.6193,70.02389,73.2607,73.48444,74.93876,76.85549,75.11776,73.44715,75.95306,74.95368,68.99389,76.91516,73.50681,76.07239
549,72.82891,73.86261,68.94711,70.26873,73.43222,71.22423,71.61182,70.97837,70.935,72.81445,75.01111,72.83614,70.60848,74.0982,73.92224,66.92269,76.06896,71.95852,74.30184
550,67.46132,67.48793,63.32981,64.87996,67.41475,65.67832,66.68957,64.60053,65.21261,67.1952,68.73869,67.10206,65.23257,67.7474,68.00686,61.82382,68.85845,66.08415,68.25302
551,63.85552,63.83028,60.71891,61.31503,63.83212,62.71362,64.2253,62.18939,62.4229,63.62226,64.93189,63.41374,61.64952,64.46174,65.17212,59.38485,66.34931,62.92815,65.21778
552,60.41708,61.24489,58.23757,65.18535,63.20432,61.67841,63.39505,59.5524,59.77238,63.06444,64.6285,60.3357,65.92923,63.85918,65.50204,57.66154,67.2797,62.41593,66.44175
553,54.70305,55.17108,52.51451,63.38372,59.225,57.86734,59.07613,53.61335,53.90552,59.08804,60.54693,54.21556,64.16973,59.88001,62.06616,52.15366,64.08518,58.49853,62.4425
554,53.45016,54.50054,51.65543,59.4438,57.11157,55.72725,56.93424,52.82737,52.94033,56.98,58.31283,53.45944,60.01583,57.60923,59.09167,51.1306,60.97803,56.31644,58.28423
555,52.89242,54.11448,51.18058,59.55395,56.98461,55.67823,57.06448,52.61817,52.4768,56.85911,58.13697,52.99106,60.24422,57.22992,59.0051,50.81993,60.96783,56.19166,58.00006
556,59.11614,60.53699,57.4557,64.70904,62.22931,60.93353,62.38657,58.71985,58.90819,62.10351,63.60059,59.47394,65.45129,62.61931,64.3534,56.95914,66.19276,61.5311,64.45606
557,64.72033,65.47361,62.08305,72.97763,68.70579,67.11963,67.94749,63.63442,63.85202,68.53882,70.29891,64.63879,73.88897,68.55274,71.23021,61.41325,73.62889,67.78748,70.59805
558,75.73959,75.64002,75.82661,76.17975,78.10339,78.04149,77.81877,75.7831,75.72703,78.10339,78.10339,75.64002,76.17975,78.07244,78.03688,75.92618,78.7973,78.04149,77.79768
559,72.01473,74.43057,70.04638,70.58141,83.28534,80.94726,80.78593,72.07292,71.88152,82.9731,85.51687,72.35414,71.42447,83.02045,83.05419,69.74497,86.91719,81.82561,85.70272
