Time,Location,LMP
2022-01-01 01:00:00-08:00,VACA-DIX_1_B1,60.4104
2022-01-01 01:00:00-08:00,WISE1_7_B1,60.90561
2022-01-01 01:15:00-08:00,ALTA1G_7_B1,61.54579
2022-01-01 01:15:00-08:00,BIGCRK3_2_B1,58.54657
2022-01-01 01:15:00-08:00,C493GEN_7_N003,57.37988
2022-01-01 01:15:00-08:00,CUYAMAGN_7_N001,58.44051
2022-01-01 01:15:00-08:00,IBM-CTLE_1_N002,61.61061
2022-01-01 01:15:00-08:00,JESSUP_1_GN001,59.64255
2022-01-01 01:15:00-08:00,KANAKAJT_1_B1,60.01967
2022-01-01 01:15:00-08:00,KEARNY_7_GNU1N,59.77808
2022-01-01 01:15:00-08:00,LBEACH1G_7_N001,60.3791
2022-01-01 01:15:00-08:00,MECCTG2_7_B2,61.27474
2022-01-01 01:15:00-08:00,MILPITAS_1_N001,62.85389
2022-01-01 01:15:00-08:00,REDMGEN_7_N003,60.28482
2022-01-01 01:15:00-08:00,RENFRO_1_N001,59.13581
2022-01-01 01:15:00-08:00,SHELL3_7_B2,63.17798
2022-01-01 01:15:00-08:00,SPIJCT_6_B1,60.36732
2022-01-01 01:15:00-08:00,TOT210S1_7_N002,56.53138
2022-01-01 01:15:00-08:00,TULLOCH_7_B2,59.04153
2022-01-01 01:15:00-08:00,VACA-DIX_1_B1,60.34964
2022-01-01 01:15:00-08:00,WISE1_7_B1,60.79157
2022-01-01 01:30:00-08:00,ALTA1G_7_B1,60.76815
2022-01-01 01:30:00-08:00,BIGCRK3_2_B1,57.75418
2022-01-01 01:30:00-08:00,C493GEN_7_N003,56.61376
2022-01-01 01:30:00-08:00,CUYAMAGN_7_N001,57.67854
2022-01-01 01:30:00-08:00,IBM-CTLE_1_N002,60.80306
2022-01-01 01:30:00-08:00,JESSUP_1_GN001,58.90624
2022-01-01 01:30:00-08:00,KANAKAJT_1_B1,59.26117
2022-01-01 01:30:00-08:00,KEARNY_7_GNU1N,58.95861
2022-01-01 01:30:00-08:00,LBEACH1G_7_N001,59.57536
2022-01-01 01:30:00-08:00,MECCTG2_7_B2,60.47141
2022-01-01 01:30:00-08:00,MILPITAS_1_N001,62.00749
2022-01-01 01:30:00-08:00,REDMGEN_7_N003,59.49391
2022-01-01 01:30:00-08:00,RENFRO_1_N001,58.37094
2022-01-01 01:30:00-08:00,SHELL3_7_B2,62.30423
2022-01-01 01:30:00-08:00,SPIJCT_6_B1,59.58118
2022-01-01 01:30:00-08:00,TOT210S1_7_N002,55.78172
2022-01-01 01:30:00-08:00,TULLOCH_7_B2,58.26039
2022-01-01 01:30:00-08:00,VACA-DIX_1_B1,59.56955
2022-01-01 01:30:00-08:00,WISE1_7_B1,59.9652
2022-01-01 01:45:00-08:00,ALTA1G_7_B1,60.03902
2022-01-01 01:45:00-08:00,BIGCRK3_2_B1,57.048
2022-01-01 01:45:00-08:00,C493GEN_7_N003,55.92062
2022-01-01 01:45:00-08:00,CUYAMAGN_7_N001,57.0365
2022-01-01 01:45:00-08:00,IBM-CTLE_1_N002,60.22309
2022-01-01 01:45:00-08:00,JESSUP_1_GN001,58.28467
2022-01-01 01:45:00-08:00,KANAKAJT_1_B1,58.6643
2022-01-01 01:45:00-08:00,KEARNY_7_GNU1N,58.21565
2022-01-01 01:45:00-08:00,LBEACH1G_7_N001,58.85412
2022-01-01 01:45:00-08:00,MECCTG2_7_B2,59.90673
2022-01-01 01:45:00-08:00,MILPITAS_1_N001,61.45401
2022-01-01 01:45:00-08:00,REDMGEN_7_N003,58.80235
2022-01-01 01:45:00-08:00,RENFRO_1_N001,57.72098
2022-01-01 01:45:00-08:00,SHELL3_7_B2,61.81638
2022-01-01 01:45:00-08:00,SPIJCT_6_B1,58.99217
2022-01-01 01:45:00-08:00,TOT210S1_7_N002,55.10384
2022-01-01 01:45:00-08:00,TULLOCH_7_B2,57.68647
2022-01-01 01:45:00-08:00,VACA-DIX_1_B1,58.99792
2022-01-01 01:45:00-08:00,WISE1_7_B1,59.3718
2022-01-01 02:00:00-08:00,ALTA1G_7_B1,58.13419
2022-01-01 02:00:00-08:00,BIGCRK3_2_B1,58.13419
2022-01-01 02:00:00-08:00,C493GEN_7_N003,58.13419
2022-01-01 02:00:00-08:00,CUYAMAGN_7_N001,58.13419
2022-01-01 02:00:00-08:00,IBM-CTLE_1_N002,58.13419
2022-01-01 02:00:00-08:00,JESSUP_1_GN001,58.13419
2022-01-01 02:00:00-08:00,KANAKAJT_1_B1,58.13419
2022-01-01 02:00:00-08:00,KEARNY_7_GNU1N,58.13419
2022-01-01 02:00:00-08:00,LBEACH1G_7_N001,58.13419
2022-01-01 02:00:00-08:00,MECCTG2_7_B2,58.13419
2022-01-01 02:00:00-08:00,MILPITAS_1_N001,58.13419
2022-01-01 02:00:00-08:00,REDMGEN_7_N003,58.13419
2022-01-01 02:00:00-08:00,RENFRO_1_N001,58.13419
2022-01-01 02:00:00-08:00,SHELL3_7_B2,58.13419
2022-01-01 02:00:00-08:00,SPIJCT_6_B1,58.13419
2022-01-01 02:00:00-08:00,TOT210S1_7_N002,58.13419
2022-01-01 02:00:00-08:00,TULLOCH_7_B2,58.13419
2022-01-01 02:00:00-08:00,VACA-DIX_1_B1,58.13419
2022-01-01 02:00:00-08:00,WISE1_7_B1,58.13419
2022-01-01 02:15:00-08:00,ALTA1G_7_B1,58.13419
2022-01-01 02:15:00-08:00,BIGCRK3_2_B1,58.13419
2022-01-01 02:15:00-08:00,C493GEN_7_N003,58.13419
2022-01-01 02:15:00-08:00,CUYAMAGN_7_N001,58.13419
2022-01-01 02:15:00-08:00,IBM-CTLE_1_N002,58.13419
2022-01-01 02:15:00-08:00,JESSUP_1_GN001,58.13419
2022-01-01 02:15:00-08:00,KANAKAJT_1_B1,58.13419
2022-01-01 02:15:00-08:00,KEARNY_7_GNU1N,58.13419
2022-01-01 02:15:00-08:00,LBEACH1G_7_N001,58.13419
2022-01-01 02:15:00-08:00,MECCTG2_7_B2,58.13419
2022-01-01 02:15:00-08:00,MILPITAS_1_N001,58.13419
2022-01-01 02:15:00-08:00,REDMGEN_7_N003,58.13419
2022-01-01 02:15:00-08:00,RENFRO_1_N001,58.13419
2022-01-01 02:15:00-08:00,SHELL3_7_B2,58.13419
2022-01-01 02:15:00-08:00,SPIJCT_6_B1,58.13419
2022-01-01 02:15:00-08:00,TOT210S1_7_N002,58.13419
2022-01-01 02:15:00-08:00,TULLOCH_7_B2,58.13419
2022-01-01 02:15:00-08:00,VACA-DIX_1_B1,58.13419
2022-01-01 02:15:00-08:00,WISE1_7_B1,58.13419
2022-01-01 02:30:00-08:00,ALTA1G_7_B1,58.13419
2022-01-01 02:30:00-08:00,BIGCRK3_2_B1,58.13419
2022-01-01 02:30:00-08:00,C493GEN_7_N003,58.13419
2022-01-01 02:30:00-08:00,CUYAMAGN_7_N001,58.13419
2022-01-01 02:30:00-08:00,IBM-CTLE_1_N002,58.13419
2022-01-01 02:30:00-08:00,JESSUP_1_GN001,58.13419
2022-01-01 02:30:00-08:00,KANAKAJT_1_B1,58.13419
2022-01-01 02:30:00-08:00,KEARNY_7_GNU1N,58.13419
2022-01-01 02:30:00-08:00,LBEACH1G_7_N001,58.13419
2022-01-01 02:30:00-08:00,MECCTG2_7_B2,58.13419
2022-01-01 02:30:00-08:00,MILPITAS_1_N001,58.13419
